ertek,egyseg,egyedi_hash
3996,Ft/l,dbd613e0d3951f1ff375bb29dcdb6148d9d71a138eeb7209f69975bbe41447ca
2873,Ft/l,d22bd43eed94405b4280d579206e3bb3f75063cb3b8052fdbfae7ecf999d3178
2498,Ft/l,d22bd43eed94405b4280d579206e3bb3f75063cb3b8052fdbfae7ecf999d3178
2245,Ft/l,e1907f506842b8c859e2bb4dcb355fc75fce5543d2070db2d57f7376b9c533ed
4356,Ft/kg,9429b32f2a98c779de8f1d0052774ed73b34be35de893edf80a4f73c2dca4e6b
3036,Ft/kg,9429b32f2a98c779de8f1d0052774ed73b34be35de893edf80a4f73c2dca4e6b
1561,Ft/kg,7feb708461e0554d0201d877f6700a2257ed27c2b0e197a070e303b513e9e3a6
961,Ft/kg,7feb708461e0554d0201d877f6700a2257ed27c2b0e197a070e303b513e9e3a6
1123.75,Ft/kg,ea1bb696cc9639af82e1e91cc4738d57f330a465759205c83bf70fe70a9aaafa
1664.44,Ft/kg,82388d563abb143d0c621cdf8cce958807c9de31de2cc080fd8970042a2db7ed
2663.33,Ft/kg,c6ca8ece0b491240f2bf00757c67e9acdb028d44694b90fbdf82738c2038c578
7790,Ft/kg,619c702b312ef7582a98131119941056f5713873649544f163475b55edac7f15
5990,Ft/kg,619c702b312ef7582a98131119941056f5713873649544f163475b55edac7f15
7127,Ft/kg,70eba68886d24373af84bc2977a1d7800695d11688042d2a25204bac076b4fcb
6193,Ft/kg,70eba68886d24373af84bc2977a1d7800695d11688042d2a25204bac076b4fcb
7206,Ft/kg,7e8a2166d92491e2c84800d71b4d29e8f58674f8f280d3b3ea8b10cd2dde0493
5660,Ft/kg,7e8a2166d92491e2c84800d71b4d29e8f58674f8f280d3b3ea8b10cd2dde0493
7235,Ft/kg,d394be11c39c8df40ed727ed44f3a8ed132cf98fcc64a89af700bb54e59ddb42
6059,Ft/kg,d394be11c39c8df40ed727ed44f3a8ed132cf98fcc64a89af700bb54e59ddb42
16652,Ft/kg,57dbee1b7efe1c0f6ebf0ae96d1d1445289333f3ba5eda2cac9dd3b2ce333587
13621,Ft/kg,57dbee1b7efe1c0f6ebf0ae96d1d1445289333f3ba5eda2cac9dd3b2ce333587
10707,Ft/kg,7f8b034c851e01ac05b8127d086db8c15bcfc4822694b5509353b1a030701782
9636,Ft/kg,7f8b034c851e01ac05b8127d086db8c15bcfc4822694b5509353b1a030701782
10798,Ft/kg,983c9a1a7aacf2fe4e59e909df44b25e88ea94542aa48c6ba64f62d727239e86
9081,Ft/kg,983c9a1a7aacf2fe4e59e909df44b25e88ea94542aa48c6ba64f62d727239e86
7357,Ft/kg,6831f96a6a1a10650512cff4e26aac944b9c00c774b700a22a5c92837fe75a9f
6194,Ft/kg,6831f96a6a1a10650512cff4e26aac944b9c00c774b700a22a5c92837fe75a9f
8712,Ft/kg,15ea1101df055388b6234dcb359b027b524b8c3ae6cc23d86d8c1aef41cfe0c2
6392,Ft/kg,15ea1101df055388b6234dcb359b027b524b8c3ae6cc23d86d8c1aef41cfe0c2
6630,Ft/kg,1fc511a6a8f3cf7b77cdab564b251559115a6bdd9fe1c2c337b65bd095b1e535
4997,Ft/kg,1fc511a6a8f3cf7b77cdab564b251559115a6bdd9fe1c2c337b65bd095b1e535
7526,Ft/kg,b096e9d11241a9cc2bc6d8c8645153bbade3c94faff1a2b24866900a33e127e1
5772,Ft/kg,b096e9d11241a9cc2bc6d8c8645153bbade3c94faff1a2b24866900a33e127e1
3290,Ft/kg,d9bd246591b646fa02acabd6bae7898d5a31f35c4e4a8f43a8e9c676f540be0c
7992,Ft/kg,a07a5abd6a9d3d707fec3e5f408693dbc35e2e2539e204229b841e9fbfc2c0dc
4539,Ft/kg,addb2e7bb1859690140e3919f5037881e57ff2ac7cd85de437f012fd15707b49
3695,Ft/kg,addb2e7bb1859690140e3919f5037881e57ff2ac7cd85de437f012fd15707b49
2993,Ft/kg,b0dc1d59a008d20e700c6861c3cacb5ada6c4c3bd8a40f9d02c2da94cb4097db
2660,Ft/kg,b0dc1d59a008d20e700c6861c3cacb5ada6c4c3bd8a40f9d02c2da94cb4097db
4119,Ft/kg,4c967448813ab5a370d7b0ecb89710b9a32752b2c258d5cdd122ad64f806a9c5
2619,Ft/kg,4c967448813ab5a370d7b0ecb89710b9a32752b2c258d5cdd122ad64f806a9c5
4551,Ft/kg,203d0348e3bf746227566c45898f9c770f93da6c785f7622685d55dab3858273
3939,Ft/kg,203d0348e3bf746227566c45898f9c770f93da6c785f7622685d55dab3858273
5927,Ft/kg,a9a83156a8f5a04790e75de4361ffa666477712b1b4943e53d066647f1a16afb
4660,Ft/kg,a9a83156a8f5a04790e75de4361ffa666477712b1b4943e53d066647f1a16afb
4796,Ft/kg,25215fe7ff72fbc8f890a79b1e7e94eacd7bc5ebcd9ea2a04c11714a60597f4a
3396,Ft/kg,25215fe7ff72fbc8f890a79b1e7e94eacd7bc5ebcd9ea2a04c11714a60597f4a
3328,Ft/kg,62d861a88010a32d35118a82741f4e50940b5c8a78a016644fc6850853f870c6
2772,Ft/kg,62d861a88010a32d35118a82741f4e50940b5c8a78a016644fc6850853f870c6
5127,Ft/kg,2efab11c03d2624b59ef74873bfc16551ce59ad3073da9f272ea6244367e415c
4100,Ft/kg,2efab11c03d2624b59ef74873bfc16551ce59ad3073da9f272ea6244367e415c
5272,Ft/kg,688ea0058b0751282a3d3eb444ec7869d3402d0ce248931264b5c66c6bf9c36c
4439,Ft/kg,688ea0058b0751282a3d3eb444ec7869d3402d0ce248931264b5c66c6bf9c36c
3997,Ft/kg,00b83cf7f010b752287123236b45209c098f62dc7d029ca5439dc97f6b3b22b5
2997,Ft/kg,00b83cf7f010b752287123236b45209c098f62dc7d029ca5439dc97f6b3b22b5
9995,Ft/kg,b96dd8580d1d7ee5de624026994cf3ea11d561a4f344c1cba69c12c4d4b59254
14072,Ft/kg,7101f421641cea27b3ff8326ed34980a152ea51681778dbab75d37220eabbe91
9592,Ft/kg,7101f421641cea27b3ff8326ed34980a152ea51681778dbab75d37220eabbe91
8596,Ft/kg,0055e32f454c75c1353f83dbd83c060617c7cd17422c4ca8cd2c5a7865c3a37c
6796,Ft/kg,0055e32f454c75c1353f83dbd83c060617c7cd17422c4ca8cd2c5a7865c3a37c
9295,Ft/kg,a5a48318437053c13b30a8fb1c02ccc936b857685b7c35f7305b770dcba5fd18
